City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,mahebourg,-20.41,57.7,80.6,65,40,9.17,MU,1589008518
328,fort nelson,58.81,-122.7,44.44,60,84,3.67,CA,1589008518
329,anadyr,64.75,177.48,37.0,80,100,40.26,RU,1589008471
330,qaqortoq,60.72,-46.03,50.0,19,0,21.92,GL,1589008519
331,taltal,-25.4,-70.48,58.53,75,50,3.11,CL,1589008519
332,christchurch,-43.53,172.63,57.0,87,5,12.75,NZ,1589008335
333,namibe,-15.2,12.15,80.6,54,0,8.05,AO,1589008519
334,qarayeri,40.79,46.31,64.4,59,75,20.8,AZ,1589008520
335,menongue,-14.66,17.69,64.2,54,0,4.72,AO,1589008520
336,abu dhabi,24.47,54.37,89.6,40,0,9.17,AE,1589008520
337,arona,28.1,-16.68,69.01,77,75,4.7,ES,1589008520
338,nicoya,10.15,-85.45,73.0,92,100,10.0,CR,1589008501
339,batagay-alyta,67.8,130.41,24.84,93,100,3.6,RU,1589008521
340,ust-kishert,57.37,57.25,74.84,31,0,12.08,RU,1589008521
341,redding,40.59,-122.39,71.01,56,1,4.16,US,1589008521
342,grand-santi,4.25,-54.38,70.12,97,31,1.81,GF,1589008521
343,seoul,37.57,126.98,62.6,100,90,9.17,KR,1589008357
344,zhuanghe,39.7,122.99,56.8,85,100,4.18,CN,1589008522
345,sao miguel do araguaia,-13.28,-50.16,69.13,95,92,2.15,BR,1589008522
346,tacna,-18.01,-70.25,60.42,88,48,0.63,PE,1589008522
347,rio grande,-32.03,-52.1,44.01,97,0,8.99,BR,1589008308
348,qeshm,26.96,56.27,91.4,49,0,9.17,IR,1589008522
349,taoudenni,22.68,-3.98,89.49,23,100,8.14,ML,1589008523
350,palana,59.12,159.97,28.9,97,100,26.93,RU,1589008523
351,lerwick,60.15,-1.15,44.6,81,75,8.05,GB,1589008523
352,omboue,-1.57,9.26,75.74,93,100,16.78,GA,1589008523
353,cayenne,4.93,-52.33,80.6,78,90,2.24,GF,1589008524
354,vilyuysk,63.76,121.62,34.25,80,17,6.4,RU,1589008524
355,novoagansk,61.94,76.66,73.33,37,100,16.51,RU,1589008524
356,obo,5.4,26.49,74.12,85,98,4.12,CF,1589008524
357,huangmei,30.19,116.03,76.66,70,100,2.33,CN,1589008524
358,minot,48.23,-101.3,48.2,93,90,4.7,US,1589008525
359,berbera,10.44,45.01,91.0,56,0,8.61,SO,1589008525
360,abnub,27.27,31.15,66.2,63,0,13.87,EG,1589008525
361,pinheiro machado,-31.58,-53.38,48.99,76,0,13.0,BR,1589008525
362,spartanburg,34.95,-81.93,46.4,61,1,5.82,US,1589008296
363,ler,8.3,30.14,86.2,54,100,2.73,SS,1589008526
364,gospic,44.55,15.37,68.0,42,8,8.05,HR,1589008526
365,juba,4.85,31.58,82.71,65,73,6.8,SS,1589008526
366,goedereede,51.82,3.98,60.01,82,88,10.29,NL,1589008527
367,sisimiut,66.94,-53.67,35.71,76,92,2.98,GL,1589008527
368,mayo,38.89,-76.51,41.0,75,1,9.17,US,1589008515
369,worthing,50.81,-0.37,57.99,71,0,1.99,GB,1589008527
370,solnechnyy,50.72,136.63,60.44,33,46,6.62,RU,1589008527
371,malanje,-9.54,16.34,67.23,73,60,5.59,AO,1589008528
372,linqiong,30.42,103.46,69.8,40,99,6.71,CN,1589008519
373,srandakan,-7.94,110.25,83.59,80,100,5.59,ID,1589008528
374,moses lake,47.13,-119.28,57.2,54,1,6.93,US,1589008528
375,finnsnes,69.23,17.98,35.6,51,40,14.99,NO,1589008441
376,luba,3.46,8.55,75.2,100,20,2.24,GQ,1589008529
377,camacupa,-12.02,17.48,61.83,67,18,4.74,AO,1589008529
378,dangriga,16.97,-88.23,81.0,89,100,1.01,BZ,1589008266
379,griffith,41.53,-87.42,33.8,80,1,8.3,US,1589008530
380,grao mogol,-16.56,-42.89,58.33,96,100,8.03,BR,1589008530
381,guozhen,34.37,107.36,68.79,36,0,1.21,CN,1589008530
382,lompoc,34.64,-120.46,61.0,93,90,3.36,US,1589008530
383,korla,41.76,86.15,78.06,18,100,11.5,CN,1589008522
